ags,50974222,147,-10356,23,70,-32,-107
ags,50974223,194,-10383,-82,70,-38,-107
ags,50974224,255,-10342,-114,95,-44,-95
ags,50974225,157,-10324,-111,95,-50,-83
ags,50974226,150,-10290,-138,95,-50,-83
ags,50974227,138,-10310,-55,95,-44,-83
ags,50974228,103,-10351,-84,88,-38,-83
ags,50974229,225,-10322,-150,82,-38,-83
ags,50974230,116,-10371,-75,88,-44,-77
ags,50974231,121,-10300,-26,101,-44,-77
ags,50974232,130,-10271,-23,107,-50,-77
ags,50974233,111,-10351,-92,95,-44,-83
ags,50974234,67,-10351,-31,101,-38,-89
ags,50974235,113,-10295,-18,95,-50,-83
ags,50974236,118,-10290,-116,101,-44,-77
ags,50974237,186,-10290,-128,101,-38,-89
ags,50974238,201,-10303,-123,101,-38,-83
ags,50974239,177,-10327,-131,101,-44,-83
ags,50974240,196,-10332,-126,113,-38,-77
ags,50974241,230,-10324,-57,107,-38,-83
ags,50974242,201,-10356,-65,101,-38,-77
ags,50974243,191,-10312,-118,101,-44,-83
ags,50974244,199,-10310,-118,95,-44,-83
ags,50974245,182,-10324,-50,107,-32,-77
ags,50974246,142,-10300,52,113,-38,-77
ags,50974247,123,-10329,11,101,-32,-71
ags,50974248,140,-10351,-70,95,-32,-83
ags,50974249,179,-10332,-121,101,-32,-83
ags,50974250,164,-10329,-97,101,-38,-71
ags,50974251,160,-10312,-114,95,-50,-71
ags,50974252,164,-10281,-148,113,-62,-77
ags,50974253,199,-10295,-87,125,-44,-83
ags,50974254,152,-10305,-133,119,-32,-95
ags,50974255,174,-10283,-143,95,-32,-101
ags,50974256,196,-10305,-75,95,-26,-95
ags,50974257,238,-10346,-60,113,-26,-83
ags,50974258,184,-10349,-31,131,-38,-83
ags,50974259,160,-10354,-70,101,-38,-95
ags,50974260,162,-10368,-94,82,-32,-95
ags,50974261,186,-10315,-121,88,-32,-95
ags,50974262,179,-10295,-150,88,-99,-71
ags,50974263,189,-10310,-155,88,-148,-95
ags,50974264,186,-10295,-106,107,47,-107
ags,50974265,191,-10351,-111,113,-111,-89
ags,50974266,240,-10346,-133,88,23,-101
ags,50974267,150,-10312,-175,107,-111,-83
ags,50974268,135,-10361,-94,107,-38,-71
ags,50974269,186,-10356,-33,119,-26,-77
ags,50974270,174,-10315,-116,113,-99,-89
ags,50974271,150,-10364,-155,107,29,-101
ags,50974272,152,-10337,-77,113,-123,-101
ags,50974273,135,-10320,-72,101,41,-89
ags,50974274,201,-10305,-82,88,-93,-71
ags,50974275,160,-10285,-89,95,-1,-77
ags,50974276,169,-10310,-123,95,-38,-83
ags,50974277,196,-10315,-170,76,-99,-83
ags,50974278,179,-10322,-128,95,17,-71
ags,50974279,228,-10278,-82,101,-123,-65
ags,50974280,182,-10263,-50,101,47,-89
ags,50974281,162,-10266,-87,88,-99,-89
ags,50974282,160,-10290,-165,76,11,-71
ags,50974283,162,-10298,-84,82,-44,-71
ags,50974284,169,-10351,-65,101,-69,-89
ags,50974285,174,-10342,-167,95,29,-89
ags,50974286,174,-10305,-133,82,-117,-83
ags,50974287,155,-10337,-89,88,29,-89
ags,50974288,108,-10303,-101,95,-123,-95
ags,50974289,164,-10281,-75,95,17,-101
ags,50974290,172,-10241,-131,88,-50,-89
ags,50974291,172,-10344,-33,88,-50,-89
ags,50974292,169,-10354,-62,101,29,-77
ags,50974293,199,-10298,6,101,-117,-83
ags,50974294,243,-10317,28,101,29,-101
ags,50974295,245,-10342,-89,107,-117,-107
ags,50974296,160,-10334,-118,101,29,-107
ags,50974297,123,-10339,-150,101,-62,-77
ags,50974298,152,-10356,-70,95,-56,-71
ags,50974299,213,-10366,-165,76,-1,-89
ags,50974300,225,-10332,-238,76,-117,-89
ags,50974301,147,-10310,-189,95,47,-77
ags,50974302,155,-10312,-79,95,-117,-77
ags,50974303,186,-10322,-114,95,35,-83
ags,50974304,204,-10303,-116,88,-62,-83
ags,50974305,140,-10288,-62,101,-26,-101
ags,50974306,113,-10290,-77,101,-1,-101
ags,50974307,140,-10315,-72,113,-111,-95
ags,50974308,130,-10322,-45,107,35,-95
ags,50974309,140,-10320,-70,107,-123,-89
ags,50974310,177,-10303,-128,101,29,-89
ags,50974311,128,-10320,-192,95,-93,-89
ags,50974312,145,-10346,-82,95,-20,-77
ags,50974313,150,-10290,-43,95,-8,-71
ags,50974314,174,-10268,-118,95,-105,-83
ags,50974315,213,-10320,-143,101,35,-95
ags,50974316,211,-10383,-114,101,-123,-101
ags,50974317,206,-10315,-28,95,47,-89
ags,50974318,199,-10383,-62,88,-87,-83
ags,50974319,191,-10364,-40,113,-8,-77
ags,50974320,250,-10315,-114,125,-20,-89
ags,50974321,133,-10256,-65,107,-93,-107
ags,50974322,86,-10271,-87,95,35,-107
ags,50974323,84,-10324,-70,101,-117,-77
ags,50974324,101,-10324,-1,119,41,-59
ags,50974325,191,-10320,-35,113,-111,-65
ags,50974326,145,-10303,-118,101,-8,-83
ags,50974327,174,-10266,-111,101,-44,-95
ags,50974328,174,-10261,-84,95,-69,-83
ags,50974329,186,-10271,-89,95,35,-83
ags,50974330,140,-10322,-28,95,-105,-65
ags,50974331,130,-10329,-45,82,53,-65
ags,50974332,164,-10351,-99,82,-117,-77
ags,50974333,167,-10317,-158,88,-1,-83
ags,50974334,179,-10290,-150,107,-62,-83
ags,50974335,199,-10293,-189,95,-69,-83
ags,50974336,196,-10293,-104,95,23,-71
ags,50974337,218,-10298,1,82,-117,-77
ags,50974338,172,-10298,-70,95,35,-71
ags,50974339,147,-10310,-33,107,-123,-71
ags,50974340,133,-10344,-82,101,-1,-89
ags,50974341,113,-10344,-67,101,-75,-89
ags,50974342,133,-10327,-143,113,-56,-83
ags,50974343,213,-10366,-155,107,29,-77
ags,50974344,216,-10339,-9,107,-111,-89
ags,50974345,206,-10320,-79,88,29,-83
ags,50974346,213,-10373,-6,82,-130,-77
ags,50974347,152,-10324,-77,101,17,-89
ags,50974348,179,-10300,-128,101,-81,-89
ags,50974349,172,-10329,-89,76,-50,-89
ags,50974350,167,-10376,-87,76,-1,-89
ags,50974351,186,-10354,-60,88,-111,-89
ags,50974352,167,-10310,-153,95,35,-83
ags,50974353,155,-10342,-106,101,-123,-77
ags,50974354,142,-10327,-106,107,41,-77
ags,50974355,169,-10293,-104,101,-81,-89
ags,50974356,150,-10310,-21,82,-38,-89
ags,50974357,142,-10315,-50,95,-8,-101
ags,50974358,221,-10261,-94,113,-99,-101
ags,50974359,174,-10295,-104,113,29,-89
