ags,50974443,-74,-10154,77,26,-4,-37
ags,50974444,-91,-10176,82,32,-16,-24
ags,50974445,-113,-10185,79,19,-16,-30
ags,50974446,-98,-10212,108,19,-4,-18
ags,50974447,-94,-10181,113,44,2,-24
ags,50974448,-67,-10200,62,38,8,-24
ags,50974449,-42,-10178,64,44,2,-43
ags,50974450,-128,-10207,118,44,-4,-18
ags,50974451,-125,-10181,94,50,-16,-24
ags,50974452,-91,-10203,104,38,-28,-12
ags,50974453,-69,-10144,79,26,-16,-30
ags,50974454,-125,-10120,-9,26,-10,-24
ags,50974455,-128,-10164,57,26,2,-43
ags,50974456,-155,-10168,28,26,-10,-49
ags,50974457,-106,-10244,123,32,-16,-55
ags,50974458,-113,-10200,35,19,-16,-43
ags,50974459,-113,-10159,67,13,-4,-30
ags,50974460,-81,-10129,30,32,-4,-37
ags,50974461,-67,-10168,79,32,2,-12
ags,50974462,-59,-10198,194,26,2,-24
ags,50974463,-47,-10183,265,19,2,-12
ags,50974464,-55,-10176,250,26,-10,-30
ags,50974465,-84,-10161,91,32,-4,-18
ags,50974466,-120,-10154,25,26,-16,-43
ags,50974467,-159,-10176,77,26,-16,-37
ags,50974468,-96,-10185,99,32,-10,-49
ags,50974469,-62,-10144,135,26,-10,-43
ags,50974470,-64,-10178,104,32,-4,-43
ags,50974471,-98,-10173,91,26,2,-37
ags,50974472,-64,-10168,23,32,2,-18
ags,50974473,-128,-10190,145,32,14,-24
ags,50974474,-147,-10139,111,19,8,-30
ags,50974475,-113,-10168,162,13,2,-49
ags,50974476,-108,-10203,69,19,-16,-30
ags,50974477,-86,-10176,130,38,-22,-43
ags,50974478,-74,-10164,162,38,-16,-12
ags,50974479,-67,-10178,121,32,-4,-37
ags,50974480,-81,-10127,121,26,2,-37
ags,50974481,-47,-10098,86,32,-4,-55
ags,50974482,-52,-10117,162,26,-16,-61
ags,50974483,-108,-10149,182,19,-22,-152
ags,50974484,-33,-10171,113,19,-10,-73
ags,50974485,-33,-10176,86,19,-34,12
ags,50974486,-72,-10181,199,19,-16,-12
ags,50974487,-94,-10185,126,26,-4,-55
ags,50974488,-67,-10176,89,38,-10,-30
ags,50974489,-33,-10190,30,74,-10,6
ags,50974490,-91,-10212,47,99,21,-61
ags,50974491,-76,-10171,67,93,-4,-61
ags,50974492,-33,-10146,121,87,-4,-24
ags,50974493,-55,-10173,148,80,21,-18
ags,50974494,-106,-10198,35,68,8,-73
ags,50974495,-113,-10173,25,44,-34,-43
ags,50974496,-103,-10190,250,13,2,-6
ags,50974497,-72,-10195,167,-17,21,-30
ags,50974498,-52,-10156,82,-23,-4,-61
ags,50974499,-101,-10217,40,-5,-4,-12
ags,50974500,-116,-10198,72,26,2,-6
ags,50974501,-79,-10198,23,62,-10,-67
ags,50974502,-94,-10215,38,80,-22,-43
ags,50974503,-106,-10168,57,93,2,-6
ags,50974504,-111,-10139,86,80,-10,-30
ags,50974505,-116,-10190,179,44,-4,-79
ags,50974506,-111,-10244,143,7,2,-18
ags,50974507,-64,-10134,74,-11,14,-24
ags,50974508,-76,-10110,130,1,-16,-49
ags,50974509,-79,-10188,104,32,2,-73
ags,50974510,-52,-10176,89,62,14,-12
ags,50974511,-57,-10195,47,74,-10,-49
ags,50974512,-118,-10159,45,50,-10,-85
ags,50974513,-111,-10190,169,19,27,-37
ags,50974514,-64,-10159,67,-11,-4,6
ags,50974515,-79,-10176,16,-11,-4,-49
ags,50974516,-111,-10198,126,13,8,-73
ags,50974517,-79,-10205,179,50,8,-12
ags,50974518,-135,-10154,135,87,-28,-18
ags,50974519,-101,-10156,72,87,8,-55
ags,50974520,-98,-10195,21,62,8,-49
ags,50974521,-69,-10134,47,38,-10,12
ags,50974522,-125,-10124,96,19,2,-43
ags,50974523,-55,-10149,106,-23,14,-55
ags,50974524,-101,-10185,155,-35,-10,-18
ags,50974525,-147,-10151,116,1,-16,-6
ags,50974526,-152,-10149,79,56,8,-73
ags,50974527,-84,-10210,84,93,8,-55
ags,50974528,-69,-10203,64,105,-4,-12
ags,50974529,-79,-10146,91,87,2,-37
ags,50974530,-69,-10176,116,68,2,-55
ags,50974531,-91,-10161,140,19,-28,-18
ags,50974532,-62,-10117,126,-17,2,0
ags,50974533,-84,-10156,91,-23,8,-73
ags,50974534,-94,-10225,69,13,-16,-37
ags,50974535,-96,-10195,89,56,-10,-6
ags,50974536,-91,-10161,140,93,21,-18
ags,50974537,-103,-10173,133,105,-10,-79
ags,50974538,-108,-10181,111,74,-10,-30
ags,50974539,-37,-10176,113,38,8,0
ags,50974540,-30,-10212,184,-5,14,-43
ags,50974541,-120,-10181,89,-23,-16,-67
ags,50974542,-155,-10132,67,-5,2,-6
ags,50974543,-15,-10161,111,19,14,-12
ags,50974544,-30,-10139,130,62,-4,-73
ags,50974545,-72,-10198,40,99,-10,-30
ags,50974546,-79,-10220,101,99,21,0
ags,50974547,-98,-10171,177,80,2,-18
ags,50974548,-94,-10173,52,38,8,-49
ags,50974549,-74,-10173,50,-11,14,-6
ags,50974550,-103,-10185,38,-29,-4,-24
ags,50974551,-118,-10173,150,-23,-16,-49
ags,50974552,-84,-10164,201,32,8,-49
ags,50974553,-72,-10168,189,80,14,12
ags,50974554,-103,-10154,62,99,-16,-30
ags,50974555,-67,-10073,116,99,2,-55
ags,50974556,-76,-10171,94,93,2,-43
ags,50974557,-103,-10149,91,50,-16,-6
ags,50974558,-120,-10110,135,13,-16,-55
ags,50974559,-181,-10129,86,-23,14,-55
ags,50974560,-147,-10107,72,-17,-4,0
ags,50974561,-140,-10166,121,19,-4,-24
ags,50974562,-98,-10159,86,56,14,-61
ags,50974563,-98,-10161,145,62,14,-43
ags,50974564,-135,-10178,206,80,-4,12
ags,50974565,-130,-10190,177,74,27,-49
ags,50974566,-116,-10176,99,26,2,-43
ags,50974567,-106,-10205,160,-35,-22,-24
ags,50974568,-103,-10217,69,-42,-16,-6
ags,50974569,-135,-10164,150,13,2,-67
ags,50974570,-169,-10151,152,62,-4,-37
ags,50974571,-108,-10139,189,87,8,-12
ags,50974572,-111,-10195,99,93,14,-43
ags,50974573,-113,-10129,47,74,2,-73
ags,50974574,-98,-10144,23,38,2,-24
ags,50974575,-72,-10164,-9,-17,27,0
ags,50974576,-79,-10168,86,-17,14,-55
ags,50974577,-84,-10171,148,-17,2,-49
ags,50974578,-67,-10183,101,19,8,-12
ags,50974579,-125,-10183,111,62,8,-30
ags,50974580,-128,-10137,72,80,-10,-73
ags,50974581,-76,-10185,79,74,-10,-18
ags,50974582,-145,-10234,16,32,-16,-98
ags,50974583,-142,-10190,72,1,-22,-55
ags,50974584,-118,-10171,140,-17,8,-24
ags,50974585,-103,-10134,191,-29,8,-24
ags,50974586,-74,-10154,55,-23,8,-30
ags,50974587,7,-10139,45,-11,-4,-37
ags,50974588,-130,-10142,74,7,2,-43
ags,50974589,-108,-10178,74,26,-16,-37
ags,50974590,-155,-10205,116,26,-10,-24
ags,50974591,-113,-10146,138,44,2,-43
ags,50974592,-69,-10132,162,62,8,-18
ags,50974593,-89,-10168,113,50,-4,-37
ags,50974594,-111,-10164,74,44,8,-18
ags,50974595,-125,-10200,55,56,-4,-43
ags,50974596,-125,-10203,160,56,-10,-24
ags,50974597,-130,-10190,199,44,-10,-37
ags,50974598,-94,-10185,104,38,2,-24
ags,50974599,-76,-10176,67,32,8,-30
ags,50974600,-113,-10127,47,32,2,-43
ags,50974601,-79,-10161,35,44,2,-37
ags,50974602,-13,-10193,121,26,-4,-30
ags,50974603,-64,-10134,62,32,-4,-24
ags,50974604,-74,-10134,101,38,-4,-30
ags,50974605,-50,-10215,113,26,8,-30
ags,50974606,-91,-10198,52,19,-4,-37
ags,50974607,-103,-10107,135,19,-4,-30
ags,50974608,-52,-10107,104,13,-22,-49
ags,50974609,-133,-10156,55,7,-10,-30
ags,50974610,-64,-10190,82,26,-16,-43
ags,50974611,-42,-10139,128,32,2,-30
ags,50974612,-79,-10176,104,26,2,-37
ags,50974613,-116,-10222,148,38,-4,-12
ags,50974614,-91,-10173,104,38,-16,-24
ags,50974615,-74,-10164,28,38,2,-37
ags,50974616,-96,-10215,111,7,-16,-49
ags,50974617,-113,-10195,104,7,-4,-30
ags,50974618,-162,-10151,104,13,-10,-18
ags,50974619,-120,-10168,50,1,-4,-24
ags,50974620,-33,-10183,82,7,14,-30
ags,50974621,-67,-10149,69,7,21,-49
ags,50974622,-86,-10159,111,26,2,-30
ags,50974623,-133,-10178,162,26,-10,-43
ags,50974624,-84,-10159,179,19,-4,-18
ags,50974625,-91,-10139,106,26,2,-30
ags,50974626,-111,-10232,35,26,-22,-18
ags,50974627,-72,-10249,57,32,-16,-43
ags,50974628,-96,-10161,123,19,-16,-43
ags,50974629,-79,-10154,101,19,2,-55
ags,50974630,-103,-10161,77,26,2,-43
ags,50974631,-147,-10207,43,19,2,-37
ags,50974632,-157,-10176,35,19,2,-43
ags,50974633,-177,-10139,152,19,-16,-30
ags,50974634,-106,-10159,138,26,-10,-37
ags,50974635,-108,-10183,150,19,2,-37
ags,50974636,-113,-10171,148,13,8,-49
ags,50974637,-111,-10137,155,19,2,-30
ags,50974638,-79,-10207,167,32,-4,-37
ags,50974639,-72,-10283,194,19,-28,-18
ags,50974640,-91,-10220,169,13,-22,-43
ags,50974641,-159,-10115,96,32,-16,-43
ags,50974642,-130,-10061,82,32,14,-55
ags,50974643,-142,-10007,72,19,-4,-43
ags,50974644,-118,-10081,116,26,-10,-49
ags,50974645,-89,-10156,169,26,-16,-43
ags,50974646,-81,-10210,84,13,-4,-30
ags,50974647,-84,-10229,111,13,2,-37
ags,50974648,-106,-10215,72,7,2,-37
ags,50974649,-147,-10188,8,7,-10,-43
ags,50974650,-81,-10168,13,7,-10,-24
ags,50974651,-86,-10171,21,13,2,-37
ags,50974652,-120,-10168,116,19,8,-24
ags,50974653,-72,-10168,45,13,8,-30
ags,50974654,-162,-10173,99,26,-4,-12
ags,50974655,-167,-10142,157,13,-22,-37
ags,50974656,-81,-10146,30,13,-4,-24
ags,50974657,-118,-10139,35,19,2,-43
ags,50974658,-103,-10181,60,19,-10,-30
ags,50974659,-98,-10185,91,7,-16,-30
ags,50974660,-138,-10195,126,19,-10,-37
ags,50974661,-84,-10178,64,38,2,-18
ags,50974662,-106,-10164,16,32,-10,-24
ags,50974663,-55,-10120,67,26,-4,-30
ags,50974664,-106,-10161,89,26,-4,-43
ags,50974665,-72,-10190,106,26,8,-18
